word;Value
people;noun
history;noun
way;noun
art;noun
world;noun
information;noun
map;noun
two;noun
family;noun
government;noun
health;noun
system;noun
computer;noun
meat;noun
year;noun
thanks;noun
music;noun
person;noun
reading;noun
method;noun
data;noun
food;noun
understanding;noun
theory;noun
law;noun
bird;noun
literature;noun
problem;noun
software;noun
control;noun
knowledge;noun
power;noun
ability;noun
economics;noun
love;noun
internet;noun
television;noun
science;noun
library;noun
nature;noun
fact;noun
product;noun
idea;noun
temperature;noun
investment;noun
area;noun
society;noun
activity;noun
story;noun
industry;noun
media;noun
thing;noun
oven;noun
community;noun
definition;noun
safety;noun
quality;noun
development;noun
language;noun
management;noun
player;noun
variety;noun
video;noun
week;noun
security;noun
country;noun
exam;noun
movie;noun
organization;noun
equipment;noun
physics;noun
analysis;noun
policy;noun
series;noun
thought;noun
basis;noun
boyfriend;noun
direction;noun
strategy;noun
technology;noun
army;noun
camera;noun
freedom;noun
paper;noun
environment;noun
child;noun
instance;noun
month;noun
truth;noun
marketing;noun
university;noun
writing;noun
article;noun
department;noun
difference;noun
goal;noun
news;noun
audience;noun
fishing;noun
growth;noun
income;noun
marriage;noun
user;noun
combination;noun
failure;noun
meaning;noun
medicine;noun
philosophy;noun
teacher;noun
communication;noun
night;noun
chemistry;noun
disease;noun
disk;noun
energy;noun
nation;noun
road;noun
role;noun
soup;noun
advertising;noun
location;noun
success;noun
addition;noun
apartment;noun
education;noun
math;noun
moment;noun
painting;noun
politics;noun
attention;noun
decision;noun
event;noun
property;noun
shopping;noun
student;noun
wood;noun
competition;noun
distribution;noun
entertainment;noun
office;noun
population;noun
president;noun
unit;noun
category;noun
cigarette;noun
context;noun
introduction;noun
opportunity;noun
performance;noun
driver;noun
flight;noun
length;noun
magazine;noun
newspaper;noun
relationship;noun
teaching;noun
cell;noun
dealer;noun
finding;noun
lake;noun
member;noun
message;noun
phone;noun
scene;noun
appearance;noun
association;noun
concept;noun
customer;noun
death;noun
discussion;noun
housing;noun
inflation;noun
insurance;noun
mood;noun
woman;noun
advice;noun
blood;noun
effort;noun
expression;noun
importance;noun
opinion;noun
payment;noun
reality;noun
responsibility;noun
situation;noun
skill;noun
statement;noun
